,nome_logradouro_residencia,quantidade
234,RUA MUSSUREPE,5
235,RUA PIRAPEMAS,5
236,RUA ALTO DO RESERVATORIO,5
237,RUA ANTONIO FERREIRA,5
238,AVENIDA CONSELHEIRO AGUIAR,5
239,RUA SOROCABA,5
240,RUA JOAO LIMOEIRO,5
241,RUA VASCO DA GAMA,5
242,RUA CAPILE,5
243,RUA RIBEIRAO DO PINHAL,5
244,RUA LUZITANIA,5
245,RUA ANTONIO CORREIA DE ARAUJO,5
246,PALAME,5
247,RUA RIO AZUL,5
248,AV ANGRA DOS REIS,5
249,AV DR EURICO CHAVES,5
250,RUA TAMBIA,5
251,RUA EXPEDICIONARIO FRANCISCO,5
252,VILA ARITANA,5
253,RUA D,5
254,RUA JACOME ARAUJO,5
255,AV MONTE ALEGRE,5
256,RUA DR DUSTAN DE CARVALHO SOARES,5
257,RUA NOVO ACORDO,5
258,RUA TUPIRACABA,5
259,RUA TUPINARE,5
260,RUA RIO PARDO,5
261,RUA BARBACENA,5
262,RUA ENGENHO CANA BRAVA,5
263,RUA MONICA RAPOSO,5
264,RUA JAGUARI,5
265,RUA VISCONDE DE TAUNAY,5
266,RUA DOUTOR SEBASTI?O DE SOUZA,5
267,RUA HENJI GEMBA,5
268,RUA JOSE BARATA,5
269,RUA MARIA JABOAT?O,5
270,AVENIDA VEREADOR OTACILIO AZEVEDO,5
271,RUA SANTA VITORIA,5
272,RUA REGO MONTEIRO,5
273,RUA GENERAL LABATUT,5
274,RUA AURELIANO QUINTAS,5
275,RUA ESTRADA DO BARBALHO,5
276,RUA MANDIORE,5
277,RUA SAO JOAO BATISTA,5
278,RUA DAS FLORES,5
279,RUA SILVANIA,5
280,RUA DA PAZ,5
281,RUA FLORESTAL,5
282,RUA SAO BENTO,5
283,RUA ALTO DO DEODATO,4
284,2¬ TRAVESSA ENGENHO CARAU,4
285,RUA RIO TAQUARI,4
286,RUA SAO BENTO DO NORTE,4
287,RUA ENGENHEIRO ANDR? DIAS DE ARRUDA FALC?O,4
